Stock,Entry_Date,Entry_Price,Exit_Date,Exit_Price,Result,Profit_%,ER_21,CumRet_21,WMA_Ratio_21
EIHOTEL,2024-02-19,404.7999877929688,2024-03-07,424.8500061035156,Win,4.95,0.5195721820129963,0.42862177191937,1.0717678491247074
BHEL,2024-04-23,260.1499938964844,2024-05-13,283.29998779296875,Win,8.9,0.604974073461391,0.18898533029245476,1.0185697634194748
JSFB,2024-04-23,486.3500061035156,2024-05-13,623.5999755859375,Win,28.22,0.5671278266833377,0.2738345250216171,1.0778976940115976
BHEL,2024-04-24,264.04998779296875,2024-05-14,288.25,Win,9.16,0.592759833170619,0.17486090230464404,1.0291142016744506
JSFB,2024-04-24,478.6499938964844,2024-05-14,638.5499877929688,Win,33.41,0.5035201449437744,0.2526825078532246,1.0519574919021963
BHEL,2024-04-25,271.6000061035156,2024-05-15,291.3500061035156,Win,7.27,0.5602603734225864,0.14502533557274722,1.051617435898484
JSFB,2024-04-25,488.2999877929688,2024-05-15,628.2999877929688,Win,28.67,0.5151514680532181,0.26126823063706356,1.063198159308717
BHEL,2024-04-26,278.8500061035156,2024-05-16,294.79998779296875,Win,5.72,0.5955053457171401,0.16624842737473927,1.0705731321529623
JSFB,2024-04-26,507.8500061035156,2024-05-16,624.5499877929688,Win,22.98,0.5521053681212157,0.3005121795224472,1.0924327761748338
BHEL,2024-04-29,276.8999938964844,2024-05-17,299.8999938964844,Win,8.31,0.5455877333779727,0.1547122200691507,1.0555900053904708
RAMRAT,2024-04-29,172.75,2024-05-17,189.9250030517578,Win,9.94,0.504672973242087,0.36184471484438413,1.0770204382768882
BHEL,2024-04-30,281.70001220703125,2024-05-21,319.20001220703125,Win,13.31,0.5553952835234205,0.15878241519697534,1.0652567933698516
VSTIND,2024-04-30,366.3136291503906,2024-05-21,370.64544677734375,Win,1.18,0.5290031697129485,0.1255918015372774,1.0358599503886867
BHEL,2024-05-02,292.70001220703125,2024-05-22,301.95001220703125,Win,3.16,0.5950192794537879,0.183582727840774,1.0946077584096447
ASHOKLEY,2024-05-21,105.6750030517578,2024-06-07,115.7249984741211,Win,9.51,0.5748791354830428,0.2454331756292046,1.060147311030339
ASHOKLEY,2024-05-22,104.0999984741211,2024-06-10,115.70999908447266,Win,11.15,0.5162786340380907,0.22940649214372869,1.037226001418004
