condition,feature,operator,threshold,matched_count,hit_count,non_hit_count,accuracy_pct,coverage_pct,non_hit_leakage_pct
close_to_close_ema_21_daily_difference_pct <= -8.259378407006071,close_to_close_ema_21_daily_difference_pct,<=,-8.259378407006071,128,5,123,3.90625,38.46153846153847,29.71014492753623
volume_to_volume_ema_5_daily_difference_pct <= -26.472316191351304,volume_to_volume_ema_5_daily_difference_pct,<=,-26.472316191351304,128,5,123,3.90625,38.46153846153847,29.71014492753623
volume_to_volume_ema_8_daily_difference_pct <= -31.176451999538962,volume_to_volume_ema_8_daily_difference_pct,<=,-31.176451999538962,128,5,123,3.90625,38.46153846153847,29.71014492753623
close_ema_3_daily_slope_pct <= -2.5221371345079837,close_ema_3_daily_slope_pct,<=,-2.5221371345079837,128,5,123,3.90625,38.46153846153847,29.71014492753623
close_ema_3_daily_volatility_5_daily <= 1.8049800685930628,close_ema_3_daily_volatility_5_daily,<=,1.8049800685930628,128,5,123,3.90625,38.46153846153847,29.71014492753623
close_ema_8_daily_slope_pct <= -1.5769590201373682,close_ema_8_daily_slope_pct,<=,-1.5769590201373682,128,5,123,3.90625,38.46153846153847,29.71014492753623
close_ema_13_daily_slope_pct <= -1.1413935238393453,close_ema_13_daily_slope_pct,<=,-1.1413935238393453,128,5,123,3.90625,38.46153846153847,29.71014492753623
close_ema_21_daily_slope_pct <= -0.8191719892608773,close_ema_21_daily_slope_pct,<=,-0.8191719892608773,128,5,123,3.90625,38.46153846153847,29.71014492753623
close_ema_55_daily_volatility_5_daily <= 0.24214776346561231,close_ema_55_daily_volatility_5_daily,<=,0.24214776346561231,128,5,123,3.90625,38.46153846153847,29.71014492753623
close_ema_55_daily_range_5_pct <= 0.9741941606106759,close_ema_55_daily_range_5_pct,<=,0.9741941606106759,128,5,123,3.90625,38.46153846153847,29.71014492753623
volume_to_volume_ema_55_daily_difference_pct >= -21.92602043529251,volume_to_volume_ema_55_daily_difference_pct,>=,-21.92602043529251,257,10,247,3.8910505836575875,76.92307692307693,59.66183574879227
volume_to_volume_ema_55_daily_difference_pct >= 29.735072246567107,volume_to_volume_ema_55_daily_difference_pct,>=,29.735072246567107,129,5,124,3.875968992248062,38.46153846153847,29.951690821256037
close_to_close_ema_3_daily_difference_pct >= -1.2756290945983872,close_to_close_ema_3_daily_difference_pct,>=,-1.2756290945983872,214,8,206,3.7383177570093453,61.53846153846154,49.75845410628019
close_to_close_ema_21_daily_difference_pct >= -2.8441701889870066,close_to_close_ema_21_daily_difference_pct,>=,-2.8441701889870066,214,8,206,3.7383177570093453,61.53846153846154,49.75845410628019
close_to_close_ema_55_daily_difference_pct >= -2.500938360464499,close_to_close_ema_55_daily_difference_pct,>=,-2.500938360464499,214,8,206,3.7383177570093453,61.53846153846154,49.75845410628019
close_to_close_ema_144_daily_difference_pct <= -1.9805132071429061,close_to_close_ema_144_daily_difference_pct,<=,-1.9805132071429061,214,8,206,3.7383177570093453,61.53846153846154,49.75845410628019
close_to_close_ema_221_daily_difference_pct <= -3.0566739559991483,close_to_close_ema_221_daily_difference_pct,<=,-3.0566739559991483,214,8,206,3.7383177570093453,61.53846153846154,49.75845410628019
volume_to_volume_ema_3_daily_difference_pct >= -7.047034930623999,volume_to_volume_ema_3_daily_difference_pct,>=,-7.047034930623999,214,8,206,3.7383177570093453,61.53846153846154,49.75845410628019
volume_to_volume_ema_5_daily_difference_pct >= -9.253848938723163,volume_to_volume_ema_5_daily_difference_pct,>=,-9.253848938723163,214,8,206,3.7383177570093453,61.53846153846154,49.75845410628019
volume_to_volume_ema_55_daily_difference_pct >= -8.078197917665012,volume_to_volume_ema_55_daily_difference_pct,>=,-8.078197917665012,214,8,206,3.7383177570093453,61.53846153846154,49.75845410628019
