condition,feature,operator,threshold,matched_count,miss_count,hit_count,miss_accuracy_pct,miss_coverage_pct,hit_leakage_pct
close_to_close_ema_8_daily_difference_pct <= -5.607789106628052,close_to_close_ema_8_daily_difference_pct,<=,-5.607789106628052,128,78,50,60.9375,32.773109243697476,26.455026455026452
close_ema_3_daily_slope_pct <= -2.5221371345079837,close_ema_3_daily_slope_pct,<=,-2.5221371345079837,128,78,50,60.9375,32.773109243697476,26.455026455026452
close_ema_8_daily_slope_pct <= -1.5769590201373682,close_ema_8_daily_slope_pct,<=,-1.5769590201373682,128,78,50,60.9375,32.773109243697476,26.455026455026452
close_ema_55_daily_volatility_5_daily >= 0.8085624609500377,close_ema_55_daily_volatility_5_daily,>=,0.8085624609500377,87,53,34,60.91954022988506,22.268907563025213,17.989417989417987
close_ema_3_daily_range_5_pct >= 9.185964089110643,close_ema_3_daily_range_5_pct,>=,9.185964089110643,172,104,68,60.46511627906976,43.69747899159664,35.978835978835974
close_ema_8_daily_volatility_5_daily >= 1.6003979984717625,close_ema_8_daily_volatility_5_daily,>=,1.6003979984717625,172,104,68,60.46511627906976,43.69747899159664,35.978835978835974
close_ema_3_daily_volatility_5_daily >= 2.857216674244907,close_ema_3_daily_volatility_5_daily,>=,2.857216674244907,129,78,51,60.46511627906976,32.773109243697476,26.984126984126984
close_to_close_ema_8_daily_difference_pct <= -6.762094168206155,close_to_close_ema_8_daily_difference_pct,<=,-6.762094168206155,86,52,34,60.46511627906976,21.84873949579832,17.989417989417987
close_to_close_ema_13_daily_difference_pct <= -8.87196229713588,close_to_close_ema_13_daily_difference_pct,<=,-8.87196229713588,86,52,34,60.46511627906976,21.84873949579832,17.989417989417987
close_ema_8_daily_slope_pct <= -1.8954071294967707,close_ema_8_daily_slope_pct,<=,-1.8954071294967707,86,52,34,60.46511627906976,21.84873949579832,17.989417989417987
close_ema_13_daily_slope_pct <= -1.457114606437771,close_ema_13_daily_slope_pct,<=,-1.457114606437771,86,52,34,60.46511627906976,21.84873949579832,17.989417989417987
close_to_close_ema_3_daily_difference_pct <= -4.168792271528552,close_to_close_ema_3_daily_difference_pct,<=,-4.168792271528552,43,26,17,60.46511627906976,10.92436974789916,8.994708994708994
close_to_close_ema_8_daily_difference_pct <= -9.163684259020084,close_to_close_ema_8_daily_difference_pct,<=,-9.163684259020084,43,26,17,60.46511627906976,10.92436974789916,8.994708994708994
close_to_close_ema_21_daily_difference_pct <= -15.032613143198484,close_to_close_ema_21_daily_difference_pct,<=,-15.032613143198484,43,26,17,60.46511627906976,10.92436974789916,8.994708994708994
close_ema_3_daily_slope_pct <= -4.001958917467423,close_ema_3_daily_slope_pct,<=,-4.001958917467423,43,26,17,60.46511627906976,10.92436974789916,8.994708994708994
close_ema_8_daily_slope_pct <= -2.5513949936017193,close_ema_8_daily_slope_pct,<=,-2.5513949936017193,43,26,17,60.46511627906976,10.92436974789916,8.994708994708994
close_ema_13_daily_volatility_5_daily <= 0.5013307665591276,close_ema_13_daily_volatility_5_daily,<=,0.5013307665591276,43,26,17,60.46511627906976,10.92436974789916,8.994708994708994
close_ema_21_daily_slope_pct <= -1.4809980436636108,close_ema_21_daily_slope_pct,<=,-1.4809980436636108,43,26,17,60.46511627906976,10.92436974789916,8.994708994708994
close_ema_221_daily_volatility_5_daily <= 0.054803880141826064,close_ema_221_daily_volatility_5_daily,<=,0.054803880141826064,43,26,17,60.46511627906976,10.92436974789916,8.994708994708994
close_ema_221_daily_range_5_pct <= 0.20284301920176578,close_ema_221_daily_range_5_pct,<=,0.20284301920176578,43,26,17,60.46511627906976,10.92436974789916,8.994708994708994
close_to_close_ema_3_daily_difference_pct <= 2.4289897201673303,close_to_close_ema_3_daily_difference_pct,<=,2.4289897201673303,341,206,135,60.410557184750736,86.5546218487395,71.42857142857143
